RowLabel,ColLabel,Value,x,y
artifact,person,0.40112775564193726,13,2
artifact,place,0.4601898491382599,14,2
artifact,plants_and_food,0.42709439992904663,15,2
artifact,quantity,0.40101778507232666,16,2
artifact,relational,0.4184838831424713,17,2
artifact,sense.auditory,0.24331676959991455,18,2
artifact,sense.visual,0.5232319235801697,19,2
artifact,shapes,0.5451396107673645,20,2
artifact,size,0.44379866123199463,21,2
artifact,spatial,0.5600553154945374,22,2
artifact,substance,0.5610442757606506,23,2
artifact,temperature,0.4556453227996826,24,2
artifact,time.period,0.3649965226650238,25,2
artifact,time.relative,0.4543994665145874,26,2
body,action,0.43783053755760193,0,3
body,animals,0.4599016606807709,1,3
body,artifact,0.5517719388008118,2,3
body,body,0.6868370771408081,3,3
body,cognition,0.38512006402015686,4,3
body,colors,0.5284706354141235,5,3
body,conflict,0.520603358745575,6,3
body,evaluative.negative,0.5157299041748047,7,3
body,evaluative.positive,0.5271176099777222,8,3
body,exchange,0.445064514875412,9,3
body,kinship,0.43164926767349243,10,3
body,medicine,0.5308546423912048,11,3
body,movement,0.5557501316070557,12,3
body,person,0.33608880639076233,13,3
body,place,0.42773759365081787,14,3
body,plants_and_food,0.4327428936958313,15,3
body,quantity,0.5067993402481079,16,3
body,relational,0.4786961078643799,17,3
body,sense.auditory,0.37430277466773987,18,3
body,sense.visual,0.4401404857635498,19,3
body,shapes,0.6373860239982605,20,3
body,size,0.5249483585357666,21,3
body,spatial,0.6884117126464844,22,3
body,substance,0.5988799333572388,23,3
body,temperature,0.5373478531837463,24,3
body,time.period,0.46988189220428467,25,3
body,time.relative,0.4945216774940491,26,3
cognition,action,0.381008505821228,0,4
cognition,animals,0.26480793952941895,1,4
cognition,artifact,0.4431402087211609,2,4
cognition,body,0.38512006402015686,3,4
cognition,cognition,0.6570981740951538,4,4
cognition,colors,0.31782740354537964,5,4
cognition,conflict,0.3611624538898468,6,4
cognition,evaluative.negative,0.3446009159088135,7,4
cognition,evaluative.positive,0.4276215732097626,8,4
cognition,exchange,0.4556787610054016,9,4
cognition,kinship,0.35916194319725037,10,4
cognition,medicine,0.370473176240921,11,4
cognition,movement,0.49578097462654114,12,4
cognition,person,0.44269639253616333,13,4
cognition,place,0.367938369512558,14,4
cognition,plants_and_food,0.3392234146595001,15,4
cognition,quantity,0.4255169928073883,16,4
cognition,relational,0.5311671495437622,17,4
cognition,sense.auditory,0.34908199310302734,18,4
cognition,sense.visual,0.6251183748245239,19,4
cognition,shapes,0.35281938314437866,20,4
cognition,size,0.4571877717971802,21,4
cognition,spatial,0.3876165449619293,22,4
cognition,substance,0.365074098110199,23,4
cognition,temperature,0.2293756604194641,24,4
cognition,time.period,0.3557126224040985,25,4
cognition,time.relative,0.47715631127357483,26,4
colors,action,0.3630797564983368,0,5
colors,animals,0.5429379940032959,1,5
colors,artifact,0.48194974660873413,2,5
colors,body,0.5284706354141235,3,5
colors,cognition,0.31782740354537964,4,5
colors,colors,0.8606162071228027,5,5
colors,conflict,0.4561925530433655,6,5
colors,evaluative.negative,0.5003920793533325,7,5
colors,evaluative.positive,0.5569874048233032,8,5
colors,exchange,0.41081345081329346,9,5
colors,kinship,0.39358487725257874,10,5
colors,medicine,0.4641895890235901,11,5
colors,movement,0.38755178451538086,12,5
colors,person,0.2804583013057709,13,5
colors,place,0.28673189878463745,14,5
colors,plants_and_food,0.6104885339736938,15,5
colors,quantity,0.4215087890625,16,5
colors,relational,0.473403662443161,17,5
colors,sense.auditory,0.28983908891677856,18,5
colors,sense.visual,0.4532182812690735,19,5
colors,shapes,0.5399724245071411,20,5
colors,size,0.4970226287841797,21,5
colors,spatial,0.5636101961135864,22,5
colors,substance,0.6786870956420898,23,5
colors,temperature,0.6308109760284424,24,5
colors,time.period,0.5351309776306152,25,5
colors,time.relative,0.3978336453437805,26,5
conflict,action,0.5141781568527222,0,6
conflict,animals,0.46596479415893555,1,6
conflict,artifact,0.46770527958869934,2,6
conflict,body,0.520603358745575,3,6
conflict,cognition,0.3611624538898468,4,6
conflict,colors,0.4561925530433655,5,6
conflict,conflict,0.6945253610610962,6,6
conflict,evaluative.negative,0.5991151332855225,7,6
conflict,evaluative.positive,0.5398150086402893,8,6
conflict,exchange,0.4890398383140564,9,6
conflict,kinship,0.4462195634841919,10,6
conflict,medicine,0.5223426222801208,11,6
conflict,movement,0.5883851051330566,12,6
conflict,person,0.4280562400817871,13,6
conflict,place,0.3480113446712494,14,6
conflict,plants_and_food,0.3846656084060669,15,6
conflict,quantity,0.4028422236442566,16,6
conflict,relational,0.5034396648406982,17,6
conflict,sense.auditory,0.4732576608657837,18,6
conflict,sense.visual,0.41088083386421204,19,6
conflict,shapes,0.44270259141921997,20,6
conflict,size,0.5290123224258423,21,6
conflict,spatial,0.5046783089637756,22,6
conflict,substance,0.4361079931259155,23,6
conflict,temperature,0.42413896322250366,24,6
conflict,time.period,0.4036403000354767,25,6
conflict,time.relative,0.4955998957157135,26,6
evaluative.negative,action,0.4826333522796631,0,7
evaluative.negative,animals,0.40797486901283264,1,7
evaluative.negative,artifact,0.4640668034553528,2,7
evaluative.negative,body,0.5157299041748047,3,7
evaluative.negative,cognition,0.3446009159088135,4,7
evaluative.negative,colors,0.5003920793533325,5,7
evaluative.negative,conflict,0.5991151332855225,6,7
evaluative.negative,evaluative.negative,0.7786335945129395,7,7
evaluative.negative,evaluative.positive,0.6525635719299316,8,7
evaluative.negative,exchange,0.4364508390426636,9,7
evaluative.negative,kinship,0.3823547661304474,10,7
evaluative.negative,medicine,0.5898863077163696,11,7
evaluative.negative,movement,0.5597008466720581,12,7
evaluative.negative,person,0.33963605761528015,13,7
evaluative.negative,place,0.3291056752204895,14,7
evaluative.negative,plants_and_food,0.4400929808616638,15,7
evaluative.negative,quantity,0.38269275426864624,16,7
evaluative.negative,relational,0.5368006229400635,17,7
evaluative.negative,sense.auditory,0.35723546147346497,18,7
evaluative.negative,sense.visual,0.34374651312828064,19,7
evaluative.negative,shapes,0.4321819245815277,20,7
evaluative.negative,size,0.6070845723152161,21,7
evaluative.negative,spatial,0.5197156667709351,22,7
evaluative.negative,substance,0.5420095920562744,23,7
evaluative.negative,temperature,0.5250993967056274,24,7
evaluative.negative,time.period,0.33124542236328125,25,7
evaluative.negative,time.relative,0.41715750098228455,26,7
evaluative.positive,action,0.5137625336647034,0,8
evaluative.positive,animals,0.4736688733100891,1,8
evaluative.positive,artifact,0.4711308181285858,2,8
evaluative.positive,body,0.5271176099777222,3,8
evaluative.positive,cognition,0.4276215732097626,4,8
evaluative.positive,colors,0.5569874048233032,5,8
evaluative.positive,conflict,0.5398150086402893,6,8
evaluative.positive,evaluative.negative,0.6525635719299316,7,8
